"skill_id","skills","demand_count","average_salary"
0,"sql","398","(0,96435.332040119202)"
181,"excel","256","(181,86418.902006532898)"
1,"python","236","(1,101511.846673318614)"
182,"tableau","230","(182,97978.080173485533)"
5,"r","148","(5,98707.800763047530)"
183,"power bi","110","(183,92323.596881734914)"
7,"sas","63","(7,93707.363179687500)"
186,"sas","63","(186,93707.363179687500)"
196,"powerpoint","58","(196,88315.605245109733)"
185,"looker","49","(185,103855.350901442308)"
